participant_id,condition,age,income_bracket,gender,cancellation,satisfaction_composite,product_quality,product_relevance,product_variety,overall_satisfaction,recommend_likelihood,additional_revenue
1040,Control,51,"$75,000-$99,999",Female,0,6.5,7,6,6,7,7,17.99
1041,Change,30,"$50,000-$74,999",Non-binary,0,7.8,8,8,8,8,7,29.99
1042,Control,40,"$25,000-$49,999",Female,1,5,5,5,5,5,5,0
1043,Change,27,"$75,000-$99,999",Female,0,8.3,9,8,8,8,9,47.25
1044,Control,36,"$100,000-$149,999",Female,0,6.7,7,7,6,7,7,0
1045,Change,25,"$50,000-$74,999",Female,0,7.9,8,8,8,8,8,0
1046,Control,45,"$25,000-$49,999",Female,1,4.8,5,5,4,5,5,0
1047,Change,33,"$150,000+",Female,0,8.4,9,9,8,8,8,65.99
1048,Control,28,"$75,000-$99,999",Female,0,6.3,7,6,6,6,6,0
1049,Change,38,"$50,000-$74,999",Female,0,7.8,8,8,7,8,8,23.5
1050,Control,23,"Under $25,000",Female,1,5.2,6,5,5,5,5,0
1051,Change,32,"$75,000-$99,999",Female,0,8.1,8,9,7,8,8,0
1052,Control,47,"$100,000-$149,999",Female,0,6.5,7,6,6,7,7,19.99
1053,Change,29,"$50,000-$74,999",Female,0,7.7,8,8,7,8,8,31.25
1054,Control,41,"$25,000-$49,999",Female,1,5.1,5,5,5,5,5,0
1055,Change,27,"$75,000-$99,999",Female,0,8,8,8,8,8,8,0
1056,Control,35,"$50,000-$74,999",Female,0,6.4,7,6,6,7,6,0
1057,Change,44,"$100,000-$149,999",Female,0,7.9,8,8,8,8,8,39.99
1058,Control,26,"$75,000-$99,999",Female,1,4.9,5,5,4,5,5,0
1059,Change,31,"$50,000-$74,999",Male,0,7.8,8,8,7,8,8,0
1060,Control,39,"$25,000-$49,999",Female,0,6.2,6,6,6,6,6,14.5
1061,Change,25,"$75,000-$99,999",Female,0,8.2,9,8,8,8,8,28.75
1062,Control,43,"$100,000-$149,999",Female,0,6.6,7,7,6,7,6,0
1063,Change,30,"$50,000-$74,999",Female,0,7.8,8,8,8,8,7,0
1064,Control,24,"Under $25,000",Female,1,5,5,5,5,5,5,0
1065,Change,37,"$75,000-$99,999",Female,0,8.1,8,9,8,8,8,44.99
1066,Control,48,"$50,000-$74,999",Female,0,6.5,7,6,6,7,7,0
1067,Change,33,"$100,000-$149,999",Female,0,7.7,8,8,7,8,8,19.99
1068,Control,28,"$75,000-$99,999",Female,1,5.3,6,5,5,5,5,0
1069,Change,42,"$50,000-$74,999",Female,0,7.9,8,8,8,8,8,0
1070,Control,26,"$25,000-$49,999",Female,0,6.3,7,6,6,6,6,10.99
1071,Change,36,"$75,000-$99,999",Female,0,8.3,9,8,8,8,9,38.5
1072,Control,50,"$100,000-$149,999",Female,0,6.7,7,7,6,7,7,0
1073,Change,29,"$50,000-$74,999",Female,0,7.8,8,8,7,8,8,0
1074,Control,34,"$25,000-$49,999",Female,1,4.7,5,5,4,5,4,0
1075,Change,25,"$75,000-$99,999",Female,0,8,8,9,7,8,8,26.99
1076,Control,40,"$150,000+",Female,0,6.6,7,6,6,7,7,0
1077,Change,31,"$50,000-$74,999",Female,0,7.9,8,8,8,8,8,33.75
1078,Control,23,"Under $25,000",Male,1,5.1,6,5,5,5,5,0
1079,Change,38,"$75,000-$99,999",Female,0,8.1,9,8,8,8,8,0
1080,Control,46,"$100,000-$149,999",Female,0,6.4,7,6,6,7,6,16.5
1081,Change,27,"$50,000-$74,999",Female,0,7.7,8,8,7,8,7,24.99
1082,Control,32,"$25,000-$49,999",Female,1,5,5,5,5,5,5,0
1083,Change,43,"$75,000-$99,999",Female,0,8.2,8,9,8,8,8,0
1084,Control,29,"$50,000-$74,999",Female,0,6.5,7,6,6,7,7,0
1085,Change,35,"$100,000-$149,999",Female,0,7.8,8,8,7,8,8,42.5
1086,Control,24,"$75,000-$99,999",Female,1,4.8,5,5,4,5,5,0
1087,Change,41,"$50,000-$74,999",Female,0,7.9,8,8,8,8,8,0
1088,Control,28,"$25,000-$49,999",Non-binary,0,6.3,6,6,6,7,6,11.99
1089,Change,39,"$75,000-$99,999",Female,0,8,9,8,8,8,8,36.25
1090,Control,52,"$100,000-$149,999",Female,0,6.7,7,7,6,7,7,0
1091,Change,30,"$50,000-$74,999",Female,0,7.8,8,8,7,8,8,0
1092,Control,26,"Under $25,000",Female,1,5.2,6,5,5,5,5,0
1093,Change,37,"$75,000-$99,999",Female,0,8.1,8,9,8,8,8,29.99
1094,Control,45,"$50,000-$74,999",Female,0,6.4,7,6,6,7,6,0
1095,Change,33,"$100,000-$149,999",Female,0,7.7,8,8,7,8,7,18.5
1096,Control,27,"$75,000-$99,999",Female,1,4.9,5,5,4,5,5,0
1097,Change,40,"$50,000-$74,999",Female,0,8.2,9,8,8,8,8,0
1098,Control,25,"$25,000-$49,999",Male,0,6.1,6,6,6,6,6,13.75
1099,Change,34,"$150,000+",Female,0,8.3,9,9,8,8,9,59.99
1100,Control,49,"$75,000-$99,999",Female,0,6.6,7,7,6,7,6,0
1101,Control,28,"$50,000-$74,999",Female,1,5.3,6,5,5,5,5,0
1102,Change,34,"$75,000-$99,999",Female,0,7.8,8,8,7,8,8,32.5
1103,Control,42,"$100,000-$149,999",Female,0,6.2,6,6,6,7,6,0
1104,Change,25,"$25,000-$49,999",Female,0,8.1,9,8,8,8,8,0
1105,Control,36,"$50,000-$74,999",Female,1,4.9,5,5,4,5,5,0
1106,Change,31,"$75,000-$99,999",Female,0,7.9,8,8,8,8,8,41.99
1107,Control,47,"$150,000+",Female,0,6.5,7,6,6,7,7,0
1108,Change,29,"$50,000-$74,999",Non-binary,0,8,8,9,7,8,8,19.99
1109,Control,38,"Under $25,000",Female,1,5.1,5,5,5,5,5,0
1110,Change,24,"$75,000-$99,999",Female,0,7.7,8,8,7,8,7,0
1111,Control,33,"$50,000-$74,999",Female,0,6.3,7,6,6,6,6,15.99
1112,Change,41,"$100,000-$149,999",Female,0,8.2,9,8,8,8,8,45.5
1113,Control,26,"$25,000-$49,999",Female,1,4.8,5,5,4,5,5,0
1114,Change,37,"$75,000-$99,999",Female,0,7.8,8,8,7,8,8,0
1115,Control,45,"$50,000-$74,999",Female,0,6.6,7,7,6,7,6,0
1116,Change,30,"$100,000-$149,999",Female,0,8.1,8,9,8,8,8,37.25
1117,Control,23,"Under $25,000",Female,1,5,5,5,5,5,5,0
1118,Change,35,"$75,000-$99,999",Female,0,7.9,8,8,8,8,8,24.99
1119,Control,43,"$50,000-$74,999",Male,0,6.4,7,6,6,7,6,0
1120,Change,27,"$25,000-$49,999",Female,0,8,8,8,8,8,8,0
1121,Control,39,"$75,000-$99,999",Female,1,5.2,6,5,5,5,5,0
1122,Change,32,"$100,000-$149,999",Female,0,8.3,9,9,8,8,8,52.99
1123,Control,48,"$50,000-$74,999",Female,0,6.5,7,6,6,7,7,12.5
1124,Change,25,"$25,000-$49,999",Female,0,7.7,8,8,7,8,7,0
1125,Control,34,"$75,000-$99,999",Female,1,4.9,5,5,4,5,5,0
1126,Change,29,"$50,000-$74,999",Female,0,8.1,8,9,8,8,8,29.99
1127,Control,44,"$150,000+",Female,0,6.7,7,7,6,7,7,0
1128,Change,31,"$75,000-$99,999",Female,0,7.8,8,8,7,8,8,34.5
1129,Control,22,"Under $25,000",Female,1,5.1,5,5,5,5,5,0
1130,Change,38,"$100,000-$149,999",Female,0,8.2,9,8,8,8,8,0
1131,Control,28,"$50,000-$74,999",Female,0,6.3,6,6,6,7,6,17.99
1132,Change,40,"$75,000-$99,999",Female,0,7.9,8,8,8,8,8,39.99
1133,Control,25,"$25,000-$49,999",Female,1,4.7,5,5,4,5,4,0
1134,Change,36,"$50,000-$74,999",Female,0,8,8,9,7,8,8,0
1135,Control,46,"$100,000-$149,999",Female,0,6.6,7,7,6,7,6,0
1136,Change,30,"$75,000-$99,999",Non-binary,0,7.8,8,8,7,8,8,28.75
1137,Control,24,"Under $25,000",Female,1,5,5,5,5,5,5,0
1138,Change,35,"$50,000-$74,999",Female,0,8.1,9,8,8,8,8,0
1139,Control,41,"$75,000-$99,999",Male,0,6.4,7,6,6,7,6,14.5
1140,Change,27,"$100,000-$149,999",Female,0,7.7,8,8,7,8,7,36.99
1141,Control,37,"$25,000-$49,999",Female,1,5.2,6,5,5,5,5,0
1142,Change,32,"$50,000-$74,999",Female,0,8.2,9,8,8,8,8,0
1143,Control,49,"$150,000+",Female,0,6.5,7,6,6,7,7,19.99
1144,Change,29,"$75,000-$99,999",Female,0,7.9,8,8,8,8,8,42.5
1145,Control,23,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1146,Change,38,"$100,000-$149,999",Female,0,8,8,9,7,8,8,0
1147,Control,31,"$50,000-$74,999",Female,0,6.2,6,6,6,6,6,0
1148,Change,43,"$75,000-$99,999",Female,0,7.8,8,8,7,8,8,33.75
1149,Control,26,"$25,000-$49,999",Female,1,5.1,5,5,5,5,5,0
1150,Change,34,"$50,000-$74,999",Female,0,8.1,8,8,8,8,8,0
1151,Control,45,"$100,000-$149,999",Female,0,6.7,7,7,6,7,7,16.25
1152,Change,28,"$75,000-$99,999",Female,0,7.9,8,8,8,8,8,31.99
1153,Control,39,"Under $25,000",Female,1,4.9,5,5,4,5,5,0
1154,Change,25,"$50,000-$74,999",Female,0,8,8,9,7,8,8,0
1155,Control,36,"$75,000-$99,999",Male,0,6.3,7,6,6,6,6,11.99
1156,Change,42,"$100,000-$149,999",Female,0,8.2,9,8,8,8,8,47.99
1157,Control,29,"$25,000-$49,999",Female,1,5,5,5,5,5,5,0
1158,Change,33,"$50,000-$74,999",Female,0,7.7,8,8,7,8,7,0
1159,Control,47,"$150,000+",Female,0,6.5,7,6,6,7,7,0
1160,Change,30,"$75,000-$99,999",Female,0,8.1,8,9,8,8,8,35.5
1161,Control,24,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1162,Change,37,"$100,000-$149,999",Female,0,7.8,8,8,7,8,8,0
1163,Control,27,"$50,000-$74,999",Female,0,6.4,7,6,6,7,6,13.99
1164,Change,40,"$75,000-$99,999",Female,0,8.3,9,9,8,8,8,44.25
1165,Control,32,"$25,000-$49,999",Female,1,5.2,6,5,5,5,5,0
1166,Change,26,"$50,000-$74,999",Female,0,7.9,8,8,8,8,8,0
1167,Control,44,"$100,000-$149,999",Female,0,6.6,7,7,6,7,6,0
1168,Change,35,"$75,000-$99,999",Non-binary,0,8,8,8,8,8,8,26.99
1169,Control,23,"Under $25,000",Female,1,4.9,5,5,4,5,5,0
1170,Change,38,"$50,000-$74,999",Female,0,8.2,9,8,8,8,8,0
1171,Control,30,"$75,000-$99,999",Male,0,6.3,6,6,6,7,6,15.75
1172,Change,41,"$100,000-$149,999",Female,0,7.7,8,8,7,8,7,38.5
1173,Control,27,"$25,000-$49,999",Female,1,5.1,5,5,5,5,5,0
1174,Change,34,"$50,000-$74,999",Female,0,8.1,8,9,8,8,8,0
1175,Control,46,"$150,000+",Female,0,6.5,7,6,6,7,7,18.99
1176,Change,29,"$75,000-$99,999",Female,0,7.8,8,8,7,8,8,29.99
1177,Control,25,"Under $25,000",Female,1,4.7,5,5,4,5,4,0
1178,Change,37,"$100,000-$149,999",Female,0,8,8,8,8,8,8,0
1179,Control,32,"$50,000-$74,999",Female,0,6.2,6,6,6,6,6,0
1180,Change,43,"$75,000-$99,999",Female,0,8.2,9,8,8,8,8,43.75
1181,Control,28,"$25,000-$49,999",Female,1,5,5,5,5,5,5,0
1182,Change,35,"$50,000-$74,999",Female,0,7.9,8,8,8,8,8,0
1183,Control,48,"$100,000-$149,999",Female,0,6.7,7,7,6,7,7,14.99
1184,Change,31,"$75,000-$99,999",Female,0,7.8,8,8,7,8,8,32.5
1185,Control,24,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1186,Change,39,"$50,000-$74,999",Female,0,8.1,9,8,8,8,8,0
1187,Control,33,"$75,000-$99,999",Male,0,6.4,7,6,6,7,6,12.99
1188,Change,26,"$100,000-$149,999",Female,0,7.7,8,8,7,8,7,36.25
1189,Control,40,"$25,000-$49,999",Female,1,5.2,6,5,5,5,5,0
1190,Change,28,"$50,000-$74,999",Female,0,8,8,9,7,8,8,0
1191,Control,45,"$150,000+",Female,0,6.5,7,6,6,7,7,0
1192,Change,32,"$75,000-$99,999",Female,0,8.3,9,9,8,8,8,49.99
1193,Control,23,"Under $25,000",Female,1,4.9,5,5,4,5,5,0
1194,Change,36,"$100,000-$149,999",Female,0,7.8,8,8,7,8,8,0
1195,Control,29,"$50,000-$74,999",Female,0,6.3,6,6,6,7,6,16.5
1196,Change,41,"$75,000-$99,999",Non-binary,0,8.1,8,9,8,8,8,34.75
1197,Control,27,"$25,000-$49,999",Female,1,5.1,5,5,5,5,5,0
1198,Change,35,"$50,000-$74,999",Female,0,7.9,8,8,8,8,8,0
1199,Control,47,"$100,000-$149,999",Female,0,6.6,7,7,6,7,6,0
1200,Change,30,"$75,000-$99,999",Female,0,8,8,8,8,8,8,28.99
1201,Control,25,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1202,Change,38,"$50,000-$74,999",Female,0,8.2,9,8,8,8,8,0
1203,Control,33,"$75,000-$99,999",Male,0,6.4,7,6,6,7,6,13.75
1204,Change,42,"$100,000-$149,999",Female,0,7.7,8,8,7,8,7,39.5
1205,Control,28,"$25,000-$49,999",Female,1,5,5,5,5,5,5,0
1206,Change,34,"$50,000-$74,999",Female,0,8.1,8,9,8,8,8,0
1207,Control,46,"$150,000+",Female,0,6.5,7,6,6,7,7,19.25
1208,Change,29,"$75,000-$99,999",Female,0,7.8,8,8,7,8,8,31.99
1209,Control,24,"Under $25,000",Female,1,4.7,5,5,4,5,4,0
1210,Change,37,"$100,000-$149,999",Female,0,8,8,8,8,8,8,0
1211,Control,31,"$50,000-$74,999",Female,0,6.2,6,6,6,6,6,0
1212,Change,43,"$75,000-$99,999",Female,0,8.2,9,8,8,8,8,45.75
1213,Control,26,"$25,000-$49,999",Female,1,5.2,6,5,5,5,5,0
1214,Change,35,"$50,000-$74,999",Female,0,7.9,8,8,8,8,8,0
1215,Control,41,"$100,000-$149,999",Female,0,6.7,7,7,6,7,7,15.5
1216,Change,28,"$75,000-$99,999",Female,0,7.8,8,8,7,8,8,29.99
1217,Control,39,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1218,Change,25,"$50,000-$74,999",Female,0,8.1,9,8,8,8,8,0
1219,Control,36,"$75,000-$99,999",Male,0,6.3,7,6,6,6,6,11.99
1220,Change,45,"$100,000-$149,999",Female,0,7.7,8,8,7,8,7,37.25
1221,Control,30,"$25,000-$49,999",Female,1,5.1,5,5,5,5,5,0
1222,Change,27,"$50,000-$74,999",Female,0,8,8,9,7,8,8,0
1223,Control,44,"$150,000+",Female,0,6.5,7,6,6,7,7,0
1224,Change,32,"$75,000-$99,999",Non-binary,0,8.3,9,9,8,8,8,53.99
1225,Control,23,"Under $25,000",Female,1,4.9,5,5,4,5,5,0
1226,Change,38,"$100,000-$149,999",Female,0,7.8,8,8,7,8,8,0
1227,Control,29,"$50,000-$74,999",Female,0,6.4,7,6,6,7,6,14.99
1228,Change,40,"$75,000-$99,999",Female,0,8.1,8,9,8,8,8,40.5
1229,Control,26,"$25,000-$49,999",Female,1,5,5,5,5,5,5,0
1230,Change,33,"$50,000-$74,999",Female,0,7.9,8,8,8,8,8,0
1231,Control,46,"$100,000-$149,999",Female,0,6.6,7,7,6,7,6,0
1232,Change,31,"$75,000-$99,999",Female,0,8,8,8,8,8,8,33.75
1233,Control,24,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1234,Change,37,"$50,000-$74,999",Female,0,8.2,9,8,8,8,8,0
1235,Control,42,"$75,000-$99,999",Male,0,6.3,6,6,6,7,6,17.5
1236,Change,28,"$100,000-$149,999",Female,0,7.7,8,8,7,8,7,38.99
1237,Control,35,"$25,000-$49,999",Female,1,5.2,6,5,5,5,5,0
1238,Change,30,"$50,000-$74,999",Female,0,8.1,8,9,8,8,8,0
1239,Control,47,"$150,000+",Female,0,6.5,7,6,6,7,7,19.99
1240,Change,29,"$75,000-$99,999",Female,0,7.8,8,8,7,8,8,29.5
1241,Control,25,"Under $25,000",Female,1,4.7,5,5,4,5,4,0
1242,Change,38,"$100,000-$149,999",Female,0,8,8,8,8,8,8,0
1243,Control,32,"$50,000-$74,999",Female,0,6.2,6,6,6,6,6,0
1244,Change,41,"$75,000-$99,999",Female,0,8.2,9,8,8,8,8,42.75
1245,Control,27,"$25,000-$49,999",Female,1,5.1,5,5,5,5,5,0
1246,Change,34,"$50,000-$74,999",Female,0,7.9,8,8,8,8,8,0
1247,Control,43,"$100,000-$149,999",Female,0,6.7,7,7,6,7,7,16.25
1248,Change,29,"$75,000-$99,999",Non-binary,0,7.8,8,8,7,8,8,31.5
1249,Control,39,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1250,Change,26,"$50,000-$74,999",Female,0,8.1,9,8,8,8,8,0
1251,Control,36,"$75,000-$99,999",Male,0,6.4,7,6,6,7,6,12.99
1252,Change,45,"$100,000-$149,999",Female,0,7.7,8,8,7,8,7,49.99
1253,Control,30,"$25,000-$49,999",Female,1,5,5,5,5,5,5,0
1254,Change,28,"$50,000-$74,999",Female,0,8,8,9,7,8,8,0
1255,Control,44,"$150,000+",Female,0,6.5,7,6,6,7,7,0
1256,Change,33,"$75,000-$99,999",Female,0,8.3,9,9,8,8,8,37.25
1257,Control,25,"Under $25,000",Female,1,4.9,5,5,4,5,5,0
1258,Change,37,"$100,000-$149,999",Female,0,7.8,8,8,7,8,8,0
1259,Control,31,"$50,000-$74,999",Female,0,6.3,6,6,6,7,6,15.5
1260,Change,40,"$75,000-$99,999",Female,0,8.1,8,9,8,8,8,39.99
1261,Control,27,"$25,000-$49,999",Female,1,5.2,6,5,5,5,5,0
1262,Change,35,"$50,000-$74,999",Female,0,7.9,8,8,8,8,8,0
1263,Control,46,"$100,000-$149,999",Female,0,6.6,7,7,6,7,6,0
1264,Change,29,"$75,000-$99,999",Female,0,8,8,8,8,8,8,28.75
1265,Control,24,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1266,Change,38,"$50,000-$74,999",Female,0,8.2,9,8,8,8,8,0
1267,Control,32,"$75,000-$99,999",Male,0,6.4,7,6,6,7,6,13.99
1268,Change,41,"$100,000-$149,999",Female,0,7.7,8,8,7,8,7,43.5
1269,Control,28,"$25,000-$49,999",Female,1,5.1,5,5,5,5,5,0
1270,Change,34,"$50,000-$74,999",Female,0,8.1,8,9,8,8,8,0
1271,Control,47,"$150,000+",Female,0,6.5,7,6,6,7,7,18.75
1272,Change,30,"$75,000-$99,999",Female,0,7.8,8,8,7,8,8,32.99
1273,Control,25,"Under $25,000",Female,1,4.7,5,5,4,5,4,0
1274,Change,37,"$100,000-$149,999",Female,0,8,8,8,8,8,8,0
1275,Control,33,"$50,000-$74,999",Female,0,6.2,6,6,6,6,6,0
1276,Change,42,"$75,000-$99,999",Non-binary,0,8.2,9,8,8,8,8,46.25
1277,Control,26,"$25,000-$49,999",Female,1,5,5,5,5,5,5,0
1278,Change,35,"$50,000-$74,999",Female,0,7.9,8,8,8,8,8,0
1279,Control,45,"$100,000-$149,999",Female,0,6.7,7,7,6,7,7,15.99
1280,Change,29,"$75,000-$99,999",Female,0,7.8,8,8,7,8,8,29.99
1281,Control,39,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1282,Change,27,"$50,000-$74,999",Female,0,8.1,9,8,8,8,8,0
1283,Control,36,"$75,000-$99,999",Male,0,6.3,7,6,6,6,6,11.5
1284,Change,43,"$100,000-$149,999",Female,0,7.7,8,8,7,8,7,38.5
1285,Control,30,"$25,000-$49,999",Female,1,5.2,6,5,5,5,5,0
1286,Change,28,"$50,000-$74,999",Female,0,8,8,9,7,8,8,0
1287,Control,44,"$150,000+",Female,0,6.5,7,6,6,7,7,0
1288,Change,31,"$75,000-$99,999",Female,0,8.3,9,9,8,8,8,54.99
1289,Control,25,"Under $25,000",Female,1,4.9,5,5,4,5,5,0
1290,Change,38,"$100,000-$149,999",Female,0,7.8,8,8,7,8,8,0
1291,Control,32,"$50,000-$74,999",Female,0,6.4,7,6,6,7,6,14.25
1292,Change,40,"$75,000-$99,999",Female,0,8.1,8,9,8,8,8,41.75
1293,Control,27,"$25,000-$49,999",Female,1,5,5,5,5,5,5,0
1294,Change,34,"$50,000-$74,999",Female,0,7.9,8,8,8,8,8,0
1295,Control,46,"$100,000-$149,999",Female,0,6.6,7,7,6,7,6,0
1296,Change,29,"$75,000-$99,999",Female,0,8,8,8,8,8,8,27.99
1297,Control,23,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1298,Change,37,"$50,000-$74,999",Female,0,8.2,9,8,8,8,8,0
1299,Control,33,"$75,000-$99,999",Male,0,6.3,6,6,6,7,6,16.5
1300,Change,41,"$100,000-$149,999",Female,0,7.7,8,8,7,8,7,39.99
1301,Control,28,"$75,000-$99,999",Female,1,5.1,6,5,5,5,5,0
1302,Change,33,"$50,000-$74,999",Female,0,7.9,8,8,8,8,8,28.5
1303,Control,42,"$100,000-$149,999",Female,0,6.3,7,6,6,6,6,0
1304,Change,26,"$25,000-$49,999",Female,0,8.1,9,8,8,8,8,0
1305,Control,38,"$75,000-$99,999",Female,1,4.9,5,5,4,5,5,0
1306,Change,31,"$50,000-$74,999",Female,0,7.8,8,8,7,8,8,35.99
1307,Control,47,"$150,000+",Female,0,6.5,7,6,6,7,7,0
1308,Change,29,"$100,000-$149,999",Female,0,8,8,9,7,8,8,45.25
1309,Control,24,"Under $25,000",Female,1,5,5,5,5,5,5,0
1310,Change,36,"$75,000-$99,999",Female,0,7.7,8,8,7,8,7,0
1311,Control,32,"$50,000-$74,999",Male,0,6.4,7,6,6,7,6,13.99
1312,Change,41,"$75,000-$99,999",Female,0,8.2,9,8,8,8,8,38.5
1313,Control,27,"$25,000-$49,999",Female,1,4.8,5,5,4,5,5,0
1314,Change,35,"$100,000-$149,999",Female,0,7.9,8,8,8,8,8,0
1315,Control,43,"$50,000-$74,999",Female,0,6.6,7,7,6,7,6,0
1316,Change,30,"$25,000-$49,999",Female,0,8.1,8,9,8,8,8,19.99
1317,Control,25,"Under $25,000",Female,1,5.2,6,5,5,5,5,0
1318,Change,37,"$75,000-$99,999",Female,0,7.8,8,8,7,8,8,32.5
1319,Control,45,"$50,000-$74,999",Female,0,6.3,6,6,6,7,6,0
1320,Change,28,"$100,000-$149,999",Female,0,8,8,8,8,8,8,0
1321,Control,39,"$75,000-$99,999",Female,1,4.9,5,5,4,5,5,0
1322,Change,32,"$50,000-$74,999",Female,0,8.3,9,9,8,8,8,42.99
1323,Control,48,"$150,000+",Female,0,6.5,7,6,6,7,7,15.5
1324,Change,26,"$25,000-$49,999",Female,0,7.7,8,8,7,8,7,0
1325,Control,34,"$75,000-$99,999",Female,1,5.1,5,5,5,5,5,0
1326,Change,29,"$100,000-$149,999",Non-binary,0,8.1,8,9,8,8,8,49.99
1327,Control,44,"$50,000-$74,999",Female,0,6.7,7,7,6,7,7,0
1328,Change,31,"$25,000-$49,999",Female,0,7.8,8,8,7,8,8,0
1329,Control,23,"Under $25,000",Female,1,4.7,5,5,4,5,4,0
1330,Change,38,"$75,000-$99,999",Female,0,8.2,9,8,8,8,8,34.99
1331,Control,27,"$50,000-$74,999",Female,0,6.2,6,6,6,6,6,12.5
1332,Change,40,"$100,000-$149,999",Female,0,7.9,8,8,8,8,8,59.99
1333,Control,25,"$25,000-$49,999",Female,1,5,5,5,5,5,5,0
1334,Change,36,"$75,000-$99,999",Female,0,8,8,9,7,8,8,0
1335,Control,46,"$50,000-$74,999",Female,0,6.6,7,7,6,7,6,0
1336,Change,30,"$25,000-$49,999",Male,0,7.8,8,8,7,8,8,22.75
1337,Control,24,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1338,Change,33,"$100,000-$149,999",Female,0,8.1,9,8,8,8,8,0
1339,Control,41,"$75,000-$99,999",Female,0,6.4,7,6,6,7,6,16.5
1340,Change,29,"$50,000-$74,999",Female,0,7.7,8,8,7,8,7,25.99
1341,Control,37,"$25,000-$49,999",Female,1,5.2,6,5,5,5,5,0
1342,Change,32,"$75,000-$99,999",Female,0,8.2,9,8,8,8,8,0
1343,Control,49,"$150,000+",Female,0,6.5,7,6,6,7,7,0
1344,Change,28,"$100,000-$149,999",Female,0,7.9,8,8,8,8,8,47.5
1345,Control,23,"Under $25,000",Female,1,4.9,5,5,4,5,5,0
